project,process,hazard name,product condition,gowning,sterilization,execution pace,batch recoverability,proximity,tactility,allowed movement speed,barrier,critical surfaces,interaction,visibility,distance to object,size,weight,handling
Basel Modul 2,installation plunger bowl and track lanes modul 2,chute bonnet moves from its position,not applicable,grade c gowning,not applicable,regular,no risk of losing product,far,double gloved hands,medium,isolator with doors open (c background),1,not applicable,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,chute bonnet moves from its position,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),4,not applicable,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,chute bonnet slips off,not applicable,grade c gowning,not applicable,regular,no risk of losing product,far,double gloved hands,medium,isolator with doors open (c background),1,not applicable,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,chute bonnet slips off,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),4,not applicable,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,chute jams,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,not applicable,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,left plunger inserter jams,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,not applicable,high,near - with obstacles,5-30 cm,less than 200 g,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,left plunger inserter screw jams,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,not applicable,high,near - with obstacles,less than 5 cm,less than 200 g,easy
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a brushes plunger bowl vibratory plate with gowning,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,usage of non-sterile tool,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a brushes plunger bowl vibratory plate with gowning,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,usage of non-sterile tool,high,near - no obstacles,more than 50 cm,200 g-1 kg,easy
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a brushes plunger bowl vibratory plate with gowning,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,usage of non-sterile tool,high,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a brushes plunger bowl vibratory plate with gowning,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,usage of non-sterile tool,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages basket with plunger bowl vibratory plate,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages chute,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages isolator door with basket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages isolator door with basket lid,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - no obstacles,more than 50 cm,200 g-1 kg,easy
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages isolator door with chute,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages isolator door with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages left plunger inserter,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,less than 200 g,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages left plunger inserter with basket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages left plunger inserter with chute,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages left plunger inserter with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages left plunger inserter with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages left plunger inserter with right plunger inserter,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,less than 200 g,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages left plunger inserter with sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages left plunger inserter with sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - with obstacles,31-50 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger bowl sensor cable 1,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - with obstacles,31-50 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger bowl sensor cable 2,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - with obstacles,31-50 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger bowl vibratory plate with basket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger bowl vibratory plate with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger bowl vibratory plate with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger bowl with chute,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger bowl with plunger bowl vibratory plate,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger bowl with plunger bowl vibratory plate,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger bowl with sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger lock,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger lock with basket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger lock with chute,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger lock with left plunger inserter,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,less than 200 g,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger lock with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger lock with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger lock with right plunger inserter,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,less than 200 g,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger lock with sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger lock with sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger track lane with chute,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger track lane with sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger transfer fork,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),1,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger transfer fork with basket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger transfer fork with chute,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger transfer fork with left plunger inserter,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,less than 200 g,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger transfer fork with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger transfer fork with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger transfer fork with plunger lock,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger transfer fork with right plunger inserter,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,less than 200 g,moderate
